!VNA Trans/Linear/50 to 200/Path 2
RefreshEachScan=1TraceModes=1,1DoHist=0ActiveGraphs=0 1TraceWidths=1 1TraceColors=0 255 255;;255 200 90EndContextStartContext SweepVersion=BmsaMode=VectorTransFreqMode=0BaseFreq=0SpecialGraph=0RLCSpec=0Wait=0PlaneAdj=0Path=2SGPreset=10Offset=0IsTG=1NormRev=0VideoFilter=WideDUTDirection=0GraphData=40 20Autoscale=0 0S21Jig=Series 50 0S11Bridge=50 50 ReflectMinMaxXAxis=50 200MinMaxY1Axis=-180 180MinMaxY2Axis=-100 0IsLinear=1 1 1NumSteps=400SweepDir=1EndContext
! BandSweep Line Calibration Data
!
!07/29/19; 14:59:58
!Linear Sweep; Path 2; S21Jig=Series; S21JigR0=50
# MHz S DB R 50
! MHz  S21_DB  S21_Degrees
186.875 -20.53407 -50.68
187.25 -20.53407 -51.41
187.625 -20.54872 -52.08
188 -20.55605 -52.77
188.375 -20.61831 -53.36
188.75 -20.66225 -53.96
189.125 -20.65859 -54.66
189.5 -20.66591 -55.24
189.875 -20.66591 -56
190.25 -20.66591 -56.64
190.625 -20.66591 -57.35
191 -20.66591 -58.04
191.375 -20.72451 -58.69
191.75 -20.76113 -59.25
192.125 -20.75381 -60.04
192.5 -20.73916 -60.86
192.875 -20.7355 -61.65
193.25 -20.7831 -62.26
193.625 -20.80874 -63.19
194 -20.78677 -63.95
194.375 -20.77578 -64.61
194.75 -20.75381 -65.34
195.125 -20.7355 -66.08
195.5 -20.71718 -66.77
195.875 -20.69521 -67.55
196.25 -20.7355 -68.22
196.625 -20.75747 -68.86
197 -20.72451 -69.66
197.375 -20.69155 -70.49
197.75 -20.65859 -71.41
198.125 -20.68789 -72.05
198.5 -20.70254 -72.64
198.875 -20.66591 -73.34
199.25 -20.63295 -73.99
199.625 -20.59633 -74.71
200 -20.55971 -75.46
