!VNA Reflect/Linear/6 to 22/Path 4
RefreshEachScan=0TraceModes=1,1DoHist=0ActiveGraphs=1 1TraceWidths=1 1TraceColors=0 255 255;;255 200 90EndContextStartContext SweepVersion=BmsaMode=ReflectionFreqMode=0BaseFreq=0SpecialGraph=0RLCSpec=0Wait=0PlaneAdj=0Path=4SGPreset=10Offset=0IsTG=1NormRev=0VideoFilter=WideDUTDirection=0GraphData=14 1Autoscale=0 0S21Jig=Series 50 0S11Bridge=50 50 ReflectMinMaxXAxis=6 22MinMaxY1Axis=1 3MinMaxY2Axis=-20 0IsLinear=1 1 1NumSteps=1600SweepDir=1EndContext
! OSL Calibration Data
!
!01/20/22; 12:11:44
!Linear Sweep; Path 4; S11Jig=Reflect; S11BridgeR0=50; S21Jig=Series; S21JigR0=50
!
!  MHz    A_real   A_imag   B_real   B_imag     C_Real     C_Imag     RefDB     RefDeg
7.39 0.62456383 0.29264356e-1 0.88931795e-1 0.13815054e-1 -0.28650438 0.04307940 -37.40046 25.38
7.4 0.62369735 0.28517419e-1 0.08879500 0.13936684e-1 -0.28750765 0.04245410 -37.39297 25.33
7.41 0.625235 0.28661855e-1 0.88994643e-1 0.13141585e-1 -0.28577035 0.4180344e-1 -37.40421 24.94
7.42 0.62586108 0.24297957e-1 0.90069445e-1 0.12225893e-1 -0.28406948 0.36523849e-1 -37.39672 26.21
7.43 0.62430805 0.24064353e-1 0.89511915e-1 0.11975243e-1 -0.28618004 0.36039596e-1 -37.39672 25.97
7.44 0.62452054 0.02199240 0.88734644e-1 0.13308984e-1 -0.28674482 0.35301388e-1 -37.40046 25.55
7.45 0.62412033 0.26965386e-1 0.88687746e-1 0.12558972e-1 -0.28719192 0.39524358e-1 -37.40046 25.41
7.46 0.6250665 0.21283215e-1 0.88835965e-1 0.13673163e-1 -0.28609754 0.34956378e-1 -37.40046 25.55
7.47 0.62422805 0.30715553e-1 0.89392158e-1 0.13375698e-1 -0.2863798 0.44091251e-1 -37.40046 24.93
7.48 0.62532905 0.28667267e-1 0.88804968e-1 0.13620796e-1 -0.28586598 0.42288063e-1 -37.4192 25.25
7.49 0.62540053 0.24106125e-1 0.89752914e-1 0.12230791e-1 -0.28484656 0.36336916e-1 -37.40046 25.55
7.5 0.62438379 0.23670961e-1 0.88892842e-1 0.11624056e-1 -0.28672336 0.35295017e-1 -37.38172 25.98
7.51 0.6234931 0.02293460 0.89075354e-1 0.12582145e-1 -0.28743154 0.35516753e-1 -37.38922 25.54
7.52 0.62482088 0.29435917e-1 0.8872594e-1 0.14370466e-1 -0.28645318 0.43806383e-1 -37.40796 24.71
7.53 0.62389477 0.23758735e-1 0.89221742e-1 0.13461665e-1 -0.28688348 0.0372204 -37.39672 24.8
7.54 0.6235725 0.27563879e-1 0.89272661e-1 0.13899921e-1 -0.28715484 0.0414638 -37.39297 24.72
7.55 0.62564319 0.26002098e-1 0.89553964e-1 0.1280921e-1 -0.28480284 0.03881130 -37.41171 25.24
7.56 0.6246265 0.31431962e-1 0.8914527e-1 0.13959777e-1 -0.28622824 0.45391739e-1 -37.41171 24.8
7.57 0.62510677 0.24738683e-1 0.88984623e-1 0.13727842e-1 -0.2859086 0.38466525e-1 -37.4192 24.89
7.58 0.62597155 0.2639774e-1 0.89515932e-1 0.13601942e-1 -0.28451252 0.39999682e-1 -37.4192 25.13
7.59 0.62610554 0.30652337e-1 0.89142592e-1 0.13465636e-1 -0.28475186 0.44117973e-1 -37.41171 24.61
7.6 0.62611039 0.2579137e-1 0.8902794e-1 0.13702711e-1 -0.28486167 0.39494081e-1 -37.41546 24.86
7.61 0.62561938 0.25266144e-1 0.08947900 0.12782552e-1 -0.28490162 0.38048696e-1 -37.40796 25.16
7.62 0.62526088 0.25921337e-1 0.89418049e-1 0.12933133e-1 -0.28532107 0.3885447e-1 -37.41171 25.27
7.63 0.62431136 0.29164992e-1 0.88759073e-1 0.01340770 -0.28692956 0.42572695e-1 -37.41171 24.63
7.64 0.62489513 0.25786672e-1 0.89284658e-1 0.0135668 -0.28582021 0.39353472e-1 -37.40796 24.79
7.65 0.62505257 0.24064031e-1 0.89272195e-1 0.01338960 -0.28567523 0.37453641e-1 -37.4267 24.81
7.66 0.62590763 0.23386953e-1 0.89733763e-1 0.13202724e-1 -0.28435861 0.36589677e-1 -37.41546 24.97
7.67 0.62560783 0.33163834e-1 0.89266098e-1 0.13165751e-1 -0.28512608 0.46329585e-1 -37.4267 24.07
7.68 0.62476619 0.02461640 0.89771573e-1 0.1348053e-1 -0.28546224 0.38096937e-1 -37.4192 24.56
7.69 0.6242118 0.30206413e-1 0.88474082e-1 0.14472331e-1 -0.28731411 0.44678744e-1 -37.4192 24.27
7.7 0.62550023 0.23848965e-1 0.08871370 0.13955655e-1 -0.28578607 0.3780462e-1 -37.4192 24.43
7.71 0.62580258 0.27971798e-1 0.08956760 0.13258141e-1 -0.28462982 0.41229939e-1 -37.42295 24.69
7.72 0.62508718 0.29921067e-1 0.8911689e-1 0.1284194e-1 -0.28579593 0.04276300 -37.42295 24.49
7.73 0.62500074 0.31854045e-1 0.89336092e-1 0.13223872e-1 -0.28566317 0.45077917e-1 -37.4192 24.07
7.74 0.62393171 0.30391863e-1 0.88942657e-1 0.14963699e-1 -0.28712564 0.45355562e-1 -37.40046 24.28
7.75 0.62624552 0.27790714e-1 0.89412724e-1 0.13761934e-1 -0.28434176 0.41552648e-1 -37.4342 24.25
7.76 0.62600251 0.3543935e-1 0.89423958e-1 0.14195363e-1 -0.28457353 0.49634714e-1 -37.4342 24
7.77 0.62560902 0.29862525e-1 0.89104559e-1 0.13969335e-1 -0.28528642 0.4383186e-1 -37.4342 24.08
7.78 0.62651009 0.32447632e-1 0.89354294e-1 0.14136344e-1 -0.28413561 0.46583975e-1 -37.43794 24.06
7.79 0.6254986 0.27388784e-1 0.88823092e-1 0.01324300 -0.28567831 0.40631788e-1 -37.43045 24.3
7.8 0.62638642 0.30515959e-1 0.08948850 0.12991163e-1 -0.28412508 0.43507121e-1 -37.43794 24.61
7.81 0.62573773 0.31722899e-1 0.89012531e-1 0.14783817e-1 -0.28524974 0.46506716e-1 -37.44169 23.94
7.82 0.62598666 0.24830969e-1 0.08922080 0.12666227e-1 -0.28479253 0.37497196e-1 -37.45669 24.19
7.83 0.62570434 0.25060398e-1 0.89295531e-1 0.13233795e-1 -0.28500013 0.38294193e-1 -37.44544 24.18
7.84 0.62553838 0.25810956e-1 0.88495088e-1 0.0130836 -0.28596653 0.38894556e-1 -37.43045 23.93
7.85 0.62561796 0.31703716e-1 0.08918630 0.13950255e-1 -0.28519573 0.45653971e-1 -37.43794 23.7
7.86 0.6255723 0.3058726e-1 0.88950685e-1 0.14917161e-1 -0.28547702 0.4550442e-1 -37.42295 23.82
7.87 0.62573939 0.3117434e-1 0.89080692e-1 0.1361535e-1 -0.28517992 0.4478969e-1 -37.43045 23.92
7.88 0.62651115 0.2965482e-1 0.88854139e-1 0.14550423e-1 -0.28463471 0.44205243e-1 -37.44919 23.54
7.89 0.6245338 0.3206908e-1 0.89299585e-1 0.01471940 -0.28616662 0.46788487e-1 -37.43045 23.35
7.9 0.62416917 0.33891254e-1 0.89229128e-1 0.15140038e-1 -0.2866017 0.49031292e-1 -37.42295 23.49
7.91 0.62619035 0.3256261e-1 0.89372943e-1 0.14267234e-1 -0.28443671 0.46829844e-1 -37.43794 23.67
